"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Sinding et al., 2020","B-QT",42,95.9,15.4,95.9,5.64666666666667,2.37627158941622,40.3573398037217,0,91.2425932672585,100.557406732742
"Lee et al., 2016","B-QT",48,92.2,17,92.2,6.02083333333333,2.45373864405591,37.5753139900825,0,87.3907606301763,97.0092393698237
"Horteur et al., 2022","B-QT",25,95,12,95,5.76,2.4,39.5833333333333,0,90.2960864371039,99.7039135628961
"Guney-Deniz et al., 2020","B-QT",22,93.5,11.6,93.5,6.11636363636364,2.47312830972508,37.8063684089216,0,88.6527575837924,98.3472424162076
"Goto et al., 2022","B-QT",73,92.44,9.92,92.44,1.34803287671233,1.16104818018562,79.6177123202775,0,90.1643873825204,94.7156126174796
"Fischer et al., 2018","B-QT",61,98,12.7,98,2.64409836065574,1.62606837514778,60.2680683652639,0,94.8129645483108,101.187035451689
"Csapo et al., 2019","B-QT",15,93.5,14.4,93.5,13.824,3.71806401235912,25.1474960326662,1.50519853048497e-139,86.2127284435616,100.787271556438
"Johnston et al., 2022","S-QT",33,97.8,12.9,97.8,5.04272727272727,2.2456017618285,43.5518005295674,0,93.3987014231964,102.201298576804
"Johnston et al., 2021","S-QT",37,96.54,26.68,96.54,19.2384432432432,4.38616498130693,22.010115992316,2.30401847909726e-107,87.9432746063876,105.136725393612
"Hunnicutt et al., 2021","S-QT",270,92.5,17.3,92.5,1.10848148148148,1.05284447164882,87.8572310449038,0,90.4364627542462,94.5635372457538
