"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Runer et al., 2023","B-QT",28,99.4,1.6,99.4,0.0914285714285714,0.302371578407382,328.734600399775,0,98.807362596373,99.992637403627
"Lund et al., 2014","B-QT",21,95,6,95,1.71428571428571,1.30930734141595,72.5574485034675,0,92.4338047661308,97.5661952338692
"Lind et al., 2020b","B-QT",47,95,8,95,1.36170212765957,1.16691993198316,81.4108983797624,0,92.7128789604711,97.2871210395289
"Karpinski et al., 2021","B-QT",25,96.24,4.23,96.24,0.715716,0.846,113.758865248227,0,94.5818704690791,97.8981295309209
"Jacquet et al., 2021","B-QT",91,91.9,10.7,91.9,1.25813186813187,1.12166477529245,81.9317874861844,0,89.7015774376996,94.0984225623004
"Irrgang et al., 2021","B-QT",51,98.46,6.32,98.46,0.78318431372549,0.884977013105702,111.257127068723,0,96.725476927167,100.194523072833
"Cavaignac et al., 2017","B-QT",44,95,5.3,95,0.638409090909091,0.799005063131074,118.897869842929,0,93.4339788527979,96.5660211472021
"Zhou et al., 2023","S-QT",107,93.88,1.19,93.88,0.0132345794392523,0.115041642196434,816.052328596802,0,93.6545225245726,94.1054774754273
"Hunnicutt et al., 2019","S-QT",15,94.05,6.76,94.05,3.04650666666667,1.74542449469081,53.8837401939064,0,90.629030852672,97.470969147328
"Hogan et al., 2022","S-QT",30,94.9,13.6,94.9,6.16533333333333,2.48300892735675,38.2197578729708,0,90.0333919290893,99.7666080709107
