"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Runer et al., 2023","B-QT",28,97.4,5.4,97.4,1.04142857142857,1.02050407712491,95.4430287769226,0,95.3998487627589,99.4001512372411
"Lund et al., 2014","B-QT",21,90,10,90,4.76190476190476,2.18217890235992,41.2431812546026,0,85.7230079435514,94.2769920564486
"Lind et al., 2020b","B-QT",47,92,11,92,2.57446808510638,1.60451490647684,57.3382021124451,0,88.8552085706477,95.1447914293523
"Karpinski et al., 2021","B-QT",25,91.56,9.29,91.56,3.452164,1.858,49.2787944025834,0,87.9183869167246,95.2016130832754
"Jacquet et al., 2021","B-QT",91,87.8,13.9,87.8,2.12318681318681,1.45711592304347,60.2560157441783,0,84.944105269535,90.655894730465
"Irrgang et al., 2021","B-QT",51,94.29,9.65,94.29,1.82593137254902,1.35127028108703,69.7787861686327,0,91.6415589156901,96.9384410843099
"Cavaignac et al., 2017","B-QT",44,90,6.8,90,1.05090909090909,1.0251385715644,87.7930091564665,0,87.9907653205709,92.0092346794291
"Zhou et al., 2023","S-QT",107,88.51,1.6,88.51,0.0239252336448598,0.154677838247306,572.221599441324,0,88.2068370078288,88.8131629921712
"Hunnicutt et al., 2019","S-QT",15,87.94,7.99,87.94,4.25600666666667,2.06300912907982,42.6270532497472,0,83.8965764072262,91.9834235927738
"Hogan et al., 2022","S-QT",30,89.7,16.3,89.7,8.85633333333333,2.9759592291114,30.1415419682291,1.38453452775263e-199,83.8672270914821,95.5327729085179
