"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Yamasaki et al., 2023","B-QT",21,92.89,15.11,92.89,10.8720047619048,3.29727232146585,28.1717707679979,1.29706526913839e-174,86.4274650027062,99.3525349972938
"Vilchez-Cavazos et al., 2020","B-QT",14,95.36,7.41,95.36,3.92200714285714,1.98040580257106,48.151747422775,0,91.4784759521866,99.2415240478134
"Runer et al., 2023","B-QT",28,91.9,7.2,91.9,1.85142857142857,1.36067210283322,67.5401515241211,0,89.2331316836785,94.5668683163215
"Runer et al., 2020","B-QT",114,86,22.3,86,4.36219298245614,2.08858635982718,41.1761762185961,0,81.9064459561371,90.0935540438629
"Runer et al., 2018","B-QT",40,93.4,7.5,93.4,1.40625,1.18585412256314,78.7617955892604,0,91.0757686288579,95.7242313711421
"Pomenta Bastidas et al., 2022","B-QT",20,96.05,2.17,96.05,0.235445,0.485226751117454,197.948690542723,0,95.0989730434744,97.0010269565256
"Mutsuzaki et al., 2019","B-QT",7,94.4,4.4,94.4,2.76571428571429,1.6630436812406,56.7633917646585,0,91.1404942800515,97.6595057199485
"Mouarbes et al., 2020","B-QT",30,90.1,10.1,90.1,3.40033333333333,1.84399927693406,48.8611905259559,0,86.4858278296913,93.7141721703087
"Lee et al., 2021","B-QT",139,89.8,8.3,89.8,0.495611510791367,0.703996811634376,127.557395880137,0,88.4201916039656,91.1798083960344
"Lee et al., 2016","B-QT",48,92.1,8.7,92.1,1.576875,1.25573683548744,73.3433928170545,0,89.6388010283843,94.5611989716157
"Lee et al., 2014","B-QT",104,90.6,8.5,90.6,0.694711538461538,0.833493574337282,108.699098336825,0,88.9663826129534,92.2336173870466
"Lee et al., 2007a","B-QT",112,92.57,9.37,92.57,0.783900892857143,0.885381778024115,104.553766858164,0,90.8346836025047,94.3053163974953
"Kwak et al., 2018","B-QT",45,87,5.3,87,0.624222222222222,0.790077352049926,110.115800401405,0,85.4514768449814,88.5485231550186
"Kuangyang et al., 2022","B-QT",33,89.39,5.33,89.39,0.860875757575758,0.927833906243869,96.3426744791809,0,87.5714789601269,91.2085210398731
"Komzák et al., 2022","B-QT",40,90.1,6.7,90.1,1.12225,1.05936301615641,85.0511096063197,0,88.0236866417797,92.1763133582203
"Kim et al., 2018","B-QT",75,89.75,8.76,89.75,1.023168,1.01151767162022,88.7280593489194,0,87.7674617938985,91.7325382061015
"Kim et al., 2014","B-QT",142,88.1,6.43,88.1,0.291161267605634,0.539593613384771,163.271020661948,0,87.042415951478,89.157584048522
"Kim et al., 2009d","B-QT",59,93.22,8.83,93.22,1.32150677966102,1.14956808396067,81.0913257776117,0,90.9668879576604,95.4731120423396
"Kim et al., 2009c","B-QT",29,91.1,6.8,91.1,1.59448275862069,1.26272829960395,72.1453696955814,0,88.6250980105168,93.5749019894832
"Karpinski et al., 2021","B-QT",25,88.6,11.78,88.6,5.550736,2.356,37.6061120543294,0,83.9823248524236,93.2176751475764
"Jacquet et al., 2021","B-QT",91,90.1,13.3,90.1,1.94384615384615,1.39421883284015,64.6240015395991,0,87.3673813010658,92.8326186989342
"Horstmann et al., 2022","B-QT",24,90.4,11.9,90.4,5.90041666666667,2.42907732825999,37.2157769323696,3.79244900721023e-303,85.6390959209477,95.1609040790524
"Hofer et al., 2022","B-QT",27,91,9,91,3,1.73205080756888,52.5388744962559,0,87.6052427977715,94.3947572022285
"Guimarães et al., 2009","B-QT",17,97.35,4.11,97.35,0.993652941176471,0.996821418899329,97.6604215702869,0,95.3962659199392,99.3037340800608
"Gorschewsky et al., 2007b","B-QT",93,94,9,94,0.870967741935484,0.933256525257383,100.722574614815,0,92.1708508221585,95.8291491778415
"Gorschewsky et al., 2007a","B-QT",193,91.41,10.65,91.41,0.587681347150259,0.76660377454736,119.240216439024,0,89.9074842114747,92.9125157885253
"Galan et al., 2020","B-QT",291,91,6.05,91,0.125781786941581,0.354657280965132,256.585737510762,0,90.3048845024534,91.6951154975466
"Chen et al., 2006","B-QT",34,93,7.9,93,1.83558823529412,1.35483882262582,68.6428514203307,0,90.3445647027967,95.6554352972033
"Cavaignac et al., 2017","B-QT",44,89,6.9,89,1.08204545454545,1.04021413879328,85.5593061859799,0,86.9612177517558,91.0387822482442
"Barié et al., 2020","B-QT",21,95.9,6.1,95.9,1.77190476190476,1.33112913043955,72.0440998600435,0,93.2910348455664,98.5089651544337
"Barié et al., 2018","B-QT",57,92,10.6,92,1.97122807017544,1.40400429848895,65.5268649098971,0,89.2482021408222,94.7517978591778
"Barié et al., 2010","B-QT",105,88.5,12.7,88.5,1.53609523809524,1.23939309264464,71.4059167549153,0,86.0708341757288,90.9291658242712
"Todor et al., 2019","S-QT",39,89.2,9.97,89.2,2.54874102564103,1.59647769343672,55.8730011491612,0,86.0709612187425,92.3290387812576
"Tang et al., 2023","S-QT",17,90,4.26,90,1.06750588235294,1.03320176265478,87.1078653299506,0,87.9749617564333,92.0250382435667
"Schulz et al., 2013","S-QT",55,89,17.7,89,5.69618181818182,2.38666751311988,37.2904895678821,2.34038314423983e-304,84.3222176312133,93.6777823687867
"Schagemann et al., 2021","S-QT",8,86.88,10.09,86.88,12.7260125,3.56735371108613,24.3541871752179,5.2344230121429e-131,79.8881152061559,93.8718847938441
"Renfree et al., 2023","S-QT",32,91.3,7.5,91.3,1.7578125,1.32582521472478,68.8627723971539,0,88.7014303293443,93.8985696706556
"Pichler et al., 2022","S-QT",40,95.5,11.59,95.5,3.3582025,1.83253990406758,52.1134627344401,0,91.9082877877951,99.0917122122049
"Perez et al., 2019","S-QT",28,95,7.03,95,1.76503214285714,1.32854512262743,71.5067921909349,0,92.3960994078139,97.6039005921861
"Letter et al., 2023","S-QT",26,90.15,11.79,90.15,5.34631153846154,2.31220923327919,38.9886861026624,0,85.6181531780518,94.6818468219482
"Letter et al., 2019","S-QT",17,82.12,13.24,82.12,10.3116235294118,3.21117167548105,25.5732200888008,3.0301138556526e-144,75.826219167882,88.413780832118
"Hunnicutt et al., 2019","S-QT",15,85.86,7.19,85.86,3.44640666666667,1.85645001728209,46.2495619061709,0,82.2214248270283,89.4985751729717
"Greif et al., 2022","S-QT",124,92.11,9.11,92.11,0.669291129032258,0.81810215073196,112.589851912244,0,90.5065492488906,93.7134507511094
"Gille et al., 2009","S-QT",54,80.8,17.6,80.8,5.7362962962963,2.395056637388,33.7361541846956,1.70642478926728e-249,76.1057752497859,85.4942247502141
"Brinkman et al., 2023","S-QT",37,92.6,5.3,92.6,0.759189189189189,0.871314632718394,106.276190623701,0,90.8922547006692,94.3077452993308
"Aslam et al., 2021","S-QT",35,86.04,3.1,86.04,0.274571428571429,0.52399563793168,164.199840173513,0,85.0129874215978,87.0670125784022
