"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Sinding et al., 2020","B-QT",42,74,13.6,74,4.40380952380952,2.09852555948445,35.2628538001604,2.17992871118729e-272,69.8869654827737,78.1130345172263
"Lee et al., 2016","B-QT",48,81,17.7,81,6.526875,2.55477494116409,31.705336816515,1.31161660282649e-220,75.9927331267129,86.0072668732871
"Lee et al., 2004","B-QT",14,82,15,82,16.0714285714286,4.00891862868637,20.4543937143642,5.49005037559444e-93,74.142663870823,89.857336129177
"Kwak et al., 2018","B-QT",45,78.13,20.16,78.13,9.03168,3.00527536175972,25.9976177205444,5.26902268272029e-149,72.2397685273254,84.0202314726746
"Horteur et al., 2022","B-QT",25,66.9,11,66.9,4.84,2.2,30.4090909090909,4.16517149916782e-203,62.5880792340119,71.2119207659881
"Hofer et al., 2022","B-QT",31,78.7,14,78.7,6.32258064516129,2.51447422837485,31.2987896681945,4.84665437923623e-215,73.7717210723312,83.6282789276688
"Han et al., 2008","B-QT",19,82,15,82,11.8421052631579,3.44123600805843,23.8286475580223,1.68620599473341e-125,75.2553013619031,88.7446986380969
"Guney-Deniz et al., 2020","B-QT",22,79.7,10.5,79.7,5.01136363636364,2.23860752173391,35.602489148374,1.28204914179702e-277,75.3124098818811,84.0875901181189
"Goto et al., 2022","B-QT",73,68.49,14.44,68.49,2.85635068493151,1.69007416551213,40.5248487892519,0,65.1775155043946,71.8024844956053
"Fischer et al., 2018","B-QT",61,83.6,15.1,83.6,3.73786885245902,1.93335688698673,43.2408525103176,0,79.8106901322435,87.3893098677565
"Csapo et al., 2019","B-QT",15,71.1,14.5,71.1,14.0166666666667,3.74388390133384,18.9909735114033,2.02538759792174e-80,63.7621223910864,78.4378776089136
"Johnston et al., 2022","S-QT",33,84.7,11.2,84.7,3.80121212121212,1.94966974670382,43.4432550144438,0,80.8787175147132,88.5212824852868
"Johnston et al., 2021","S-QT",37,70.1,15.6,70.1,6.5772972972973,2.56462420196357,27.3334393188401,1.6993851935854e-164,65.0734289302716,75.1265710697284
"Hunnicutt et al., 2021","S-QT",270,67.4,15.8,67.4,0.924592592592593,0.961557378731292,70.0946209668004,0,65.5153821686179,69.2846178313821
"Hunnicutt et al., 2019","S-QT",15,73.51,22.71,73.51,34.38294,5.86369678615803,12.5364599638797,4.71595731801717e-36,62.017365482867,85.002634517133
