"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Yamasaki et al., 2023","B-QT",21,0.91,1.39,0.91,0.0920047619047619,0.303322867428029,3.00010351252505,0.00269887870206727,0.315498104153645,1.50450189584635
"Tashman et al., 2021","B-QT",57,1.4,0.67,1.4,0.00787543859649123,0.0887436679233579,15.7757734468344,4.56768265483503e-56,1.22606560701424,1.57393439298576
"Setliff et al., 2023","B-QT",35,0.8,1.5,0.8,0.0642857142857143,0.253546276418555,3.15524255098646,0.0016036472624141,0.303058429805395,1.2969415701946
"Mutsuzaki et al., 2019","B-QT",7,0.9,1.6,0.9,0.365714285714286,0.604743156814764,1.48823511247383,0.136688900368492,-0.285274807253995,2.08527480725399
"Lund et al., 2014","B-QT",21,1.1,1.4,1.1,0.0933333333333333,0.305505046330389,3.60059518889387,0.000317489565693196,0.501221112097196,1.6987788879028
"Lubis et al., 2020","B-QT",15,0.34,0.7,0.34,0.0326666666666667,0.180739222823013,1.88116333958646,0.0599497029944498,-0.0142423673268647,0.694242367326865
"Lind et al., 2021","B-QT",782,1.4,1.7,1.4,0.00369565217391304,0.0607918758874329,23.0293929832393,2.3668166185205e-117,1.280850112708,1.519149887292
"Lind et al., 2020b","B-QT",47,1.8,1,1.8,0.0212765957446809,0.145864991497895,12.3401782807219,5.50338884905583e-35,1.51410987005889,2.08589012994111
"Lind et al., 2020a","B-QT",392,1.8,1.7,1.8,0.00737244897959184,0.0858629662869379,20.9636363363541,1.40900878319655e-97,1.63171167847182,1.96828832152818
"Lee et al., 2021","B-QT",139,2.1,1.1,2.1,0.00870503597122302,0.0933007822647968,22.5078498703258,3.4773056487498e-112,1.91713382703158,2.28286617296842
"Lee et al., 2016","B-QT",48,2.1,1.9,2.1,0.0752083333333333,0.274241377865072,7.65748778083083,1.89605381192494e-14,1.56249677631382,2.63750322368618
"Lee et al., 2014","B-QT",104,1.6,1.39,1.6,0.0185778846153846,0.136300713921038,11.7387499593503,8.06699605444443e-32,1.33285550964767,1.86714449035233
"Lee et al., 2007b","B-QT",240,2.4,1.7,2.4,0.0120416666666667,0.109734528142543,21.8709647785831,4.91080869429062e-106,2.18492427698012,2.61507572301988
