"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Runer et al., 2023","B-QT",28,95,8,95,2.28571428571429,1.51185789203691,62.836593637784,0,92.036812981865,97.963187018135
"Lund et al., 2014","B-QT",21,80,19,80,17.1904761904762,4.14613991448386,19.2950555577088,5.91014162163001e-83,71.8737150927477,88.1262849072523
"Lind et al., 2020b","B-QT",47,82,29,82,17.8936170212766,4.23008475343894,19.3849543873409,1.03396628353533e-83,73.7091862317077,90.2908137682923
"Karpinski et al., 2021","B-QT",25,80.8,20.61,80.8,16.990884,4.122,19.6021348859777,1.48270960631104e-85,72.7210284557259,88.8789715442741
"Jacquet et al., 2021","B-QT",91,77.3,20.8,77.3,4.75428571428571,2.18043246038159,35.4516828218894,2.73255471707379e-275,73.02643090693,81.57356909307
"Irrgang et al., 2021","B-QT",51,89.71,13.24,89.71,3.43720784313726,1.85397083125308,48.3880320486842,0,86.0762839423562,93.3437160576438
"Cavaignac et al., 2017","B-QT",44,82,11.3,82,2.90204545454545,1.70353909686436,48.1350854529456,0,78.66112472389,85.33887527611
"Zhou et al., 2023","S-QT",107,79.22,2.76,79.22,0.071192523364486,0.266819270976603,296.905091262867,0,78.6970438385046,79.7429561614954
"Hunnicutt et al., 2019","S-QT",15,75.86,12.94,75.86,11.1629066666667,3.34109363332826,22.7051403897446,3.98559808008363e-114,69.3115768097005,82.4084231902995
"Hogan et al., 2022","S-QT",30,82.2,23.6,82.2,18.5653333333333,4.30875078570731,19.0774551809003,3.88730764821901e-81,73.755003641655,90.644996358345
