"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Vilchez-Cavazos et al., 2020","B-QT",14,2,0.142857142857143,0.0359606548262271,0.426826159027741
"Sofu et al., 2013","B-QT",23,5,0.217391304347826,0.0934902445963424,0.427973756329422
"Runer et al., 2023","B-QT",28,3,0.107142857142857,0.0349648480563771,0.284406897903177
"Runer et al., 2018","B-QT",40,7,0.175,0.085787651699509,0.324096932655892
"Ollivier et al., 2021","B-QT",340,3,0.00882352941176471,0.00284858017544904,0.0269918015217055
"Mutsuzaki et al., 2019","B-QT",8,0,0.0555555555555556,0.00338375453546199,0.504738157207305
"Malinowski et al., 2021","B-QT",106,6,0.0566037735849057,0.0256502360340263,0.120298777676028
"Lund et al., 2014","B-QT",21,1,0.0476190476190476,0.0066656640518744,0.271432491994132
"Lind et al., 2020b","B-QT",50,12,0.24,0.141645656597944,0.376678457193244
"Lee et al., 2021","B-QT",155,22,0.141935483870968,0.095314037756308,0.206164385000309
"Lee et al., 2016","B-QT",48,5,0.104166666666667,0.044030464289395,0.226938399118696
"Lee et al., 2014","B-QT",104,9,0.0865384615384616,0.0456415746885199,0.158013388494969
"Lee et al., 2004","B-QT",67,7,0.104477611940299,0.0506300878807904,0.203329016986381
"Kwak et al., 2018","B-QT",45,0,0.0108695652173913,0.000676531183441185,0.151374156496166
"Kim et al., 2009c","B-QT",29,1,0.0344827586206897,0.00483580171905367,0.207913544613919
"Karpinski et al., 2021","B-QT",25,3,0.12,0.0392144997135433,0.312994706521548
"Irrgang et al., 2021","B-QT",57,1,0.0175438596491228,0.00246587924225424,0.114258121557433
"Han et al., 2008","B-QT",72,4,0.0555555555555556,0.0210082809103854,0.138856492612961
"Guimarães et al., 2009","B-QT",17,0,0.0277777777777778,0.001715259621611,0.322081593174817
"Goto et al., 2022","B-QT",73,0,0.00675675675675676,0.000421338672242462,0.0989262040265152
"Gorschewsky et al., 2007b","B-QT",93,14,0.150537634408602,0.0912277431619406,0.238295791765161
"Gorschewsky et al., 2007a","B-QT",193,38,0.196891191709845,0.146711817242789,0.259023366838856
"Galan et al., 2020","B-QT",291,15,0.0515463917525773,0.0313107948223336,0.0837294873464478
"Chen et al., 2006","B-QT",34,3,0.0882352941176471,0.0287359178447981,0.240434425466515
"Barié et al., 2020","B-QT",21,7,0.333333333333333,0.167920937279027,0.553331320718365
"Barié et al., 2018","B-QT",57,0,0.00862068965517241,0.0005371128768487,0.123348135185851
"Barié et al., 2010","B-QT",105,2,0.019047619047619,0.00476881923536261,0.0729463433806634
"Akoto et al., 2019","B-QT",41,4,0.0975609756097561,0.0371040799151809,0.232717691027401
"Akoto and Hoeher, 2012","B-QT",30,3,0.1,0.0326088031563234,0.268071620491462
"Tirupathi et al., 2019","S-QT",44,0,0.0111111111111111,0.000691488386483351,0.154295519242742
"Schulz et al., 2013","S-QT",55,6,0.109090909090909,0.0498411917936974,0.222296320651601
"Pichler et al., 2022","S-QT",40,2,0.05,0.0125383427193564,0.179089022478964
"Perez et al., 2019","S-QT",28,2,0.0714285714285714,0.0179303094893731,0.244765259339717
"Johnston et al., 2022","S-QT",32,18,0.5625,0.390046812162028,0.721063753073256
"Johnston et al., 2021","S-QT",36,30,0.833333333333333,0.675444704547268,0.923151715988675
"Iriuchishima et al., 2017","S-QT",20,0,0.0238095238095238,0.00147300212530511,0.287375374656742
"Greif et al., 2022","S-QT",124,20,0.161290322580645,0.106480283385777,0.236835339405294
"Gille et al., 2009","S-QT",54,0,0.00909090909090909,0.00056628806288725,0.129334639801909
"DeAngelis et al., 2007","S-QT",124,0,0.004,0.000249744884528385,0.0606490636978029
