"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Yamasaki et al., 2023","B-QT",21,0,0.0227272727272727,0.00140676771597555,0.277409607130208
"Setliff et al., 2023","B-QT",48,3,0.0625,0.0202975856375987,0.176629279368114
"Runer et al., 2023","B-QT",45,8,0.177777777777778,0.0914814623080597,0.317069132122717
"Runer et al., 2020","B-QT",217,6,0.0276497695852535,0.0124741098238722,0.0601629442539096
"Runer et al., 2018","B-QT",40,0,0.0121951219512195,0.000758571800965484,0.167202610776328
"Pomenta Bastidas et al., 2022","B-QT",20,1,0.05,0.00699653172624106,0.282203358333699
"Ollivier et al., 2021","B-QT",340,5,0.0147058823529412,0.00613414129797387,0.0348357850651854
"Mutsuzaki et al., 2019","B-QT",8,0,0.0555555555555556,0.00338375453546199,0.504738157207305
"Lund et al., 2014","B-QT",26,0,0.0185185185185185,0.00114852624739765,0.236411097408599
"Lind et al., 2020b","B-QT",50,1,0.02,0.00281020718355075,0.128761075360557
"Lind et al., 2020a","B-QT",531,25,0.0470809792843691,0.0320085402532757,0.0687467898614532
"Lee et al., 2021","B-QT",155,9,0.0580645161290323,0.0304856594333555,0.107818030227563
"Lee et al., 2014","B-QT",104,0,0.00476190476190476,0.000297212744744021,0.0714979774282216
"Lee et al., 2007b","B-QT",247,7,0.0283400809716599,0.0135697285648253,0.0582384468150058
"Lee et al., 2004","B-QT",67,4,0.0597014925373134,0.0225887795898586,0.148523770115192
"Kwak et al., 2018","B-QT",45,0,0.0108695652173913,0.000676531183441185,0.151374156496166
"Kuangyang et al., 2022","B-QT",33,0,0.0147058823529412,0.000913686638612911,0.195875248456399
"Kim et al., 2018","B-QT",75,0,0.00657894736842105,0.000410284031146313,0.0965369686157038
"Kim et al., 2009d","B-QT",59,1,0.0169491525423729,0.00238247278769186,0.11069564922167
"Karpinski et al., 2021","B-QT",25,0,0.0192307692307692,0.00119230250698162,0.243612434594825
"Jacquet et al., 2021","B-QT",92,1,0.0108695652173913,0.00152907340640806,0.0730906098739371
"Irrgang et al., 2021","B-QT",57,3,0.0526315789473684,0.0170741916058898,0.15087202710342
"Horstmann et al., 2022","B-QT",24,3,0.125,0.0408701623832336,0.323836946107593
"Herman et al., 2023","B-QT",14,0,0.0333333333333333,0.00205281519190801,0.366304541528252
"Han et al., 2008","B-QT",72,2,0.0277777777777778,0.00695779136436105,0.104351311565356
"Guimarães et al., 2009","B-QT",25,2,0.08,0.0200897420537418,0.269444569966818
"Gorschewsky et al., 2007b","B-QT",93,2,0.021505376344086,0.00538486785275072,0.081910961042968
"Gorschewsky et al., 2007a","B-QT",193,2,0.0103626943005181,0.00259319705080626,0.0404660138363613
"Geib et al., 2009","B-QT",157,3,0.0191082802547771,0.00617596618545029,0.0575523284778829
"Galan et al., 2020","B-QT",291,31,0.106529209621993,0.075920642159482,0.147508239014248
"Chen et al., 2006","B-QT",34,1,0.0294117647058824,0.00412750410209414,0.181373606086866
"Cavaignac et al., 2017","B-QT",45,1,0.0222222222222222,0.00312154491630224,0.141598243541086
"Barié et al., 2020","B-QT",30,0,0.0161290322580645,0.00100144548589752,0.211411388051798
"Barié et al., 2018","B-QT",69,6,0.0869565217391304,0.0395907776358053,0.180348634402932
"Barié et al., 2010","B-QT",106,1,0.00943396226415095,0.00132735953627048,0.0638831114086455
"Akoto et al., 2019","B-QT",41,3,0.0731707317073171,0.0237907749914239,0.203660905735316
"Akoto and Hoeher, 2012","B-QT",87,0,0.00568181818181818,0.000354480813766377,0.0843182796024413
"Zhou et al., 2023","S-QT",107,4,0.0373831775700935,0.0141016123390918,0.0953835335036132
"von Essen et al., 2022","S-QT",40,2,0.05,0.0125383427193564,0.179089022478964
"Todor et al., 2019","S-QT",39,0,0.0125,0.000777426735549711,0.170773915852854
"Tirupathi et al., 2019","S-QT",44,0,0.0111111111111111,0.000691488386483351,0.154295519242742
"Setliff et al., 2023","S-QT",147,7,0.0476190476190476,0.0228693437875457,0.0965079880238755
"Schulz et al., 2013","S-QT",55,0,0.00892857142857143,0.000556217114013294,0.127275607956229
"Schmücker et al., 2021","S-QT",223,5,0.0224215246636771,0.00936307280106684,0.0527230014539103
"Renfree et al., 2023","S-QT",32,0,0.0151515151515152,0.000941179429291306,0.200793971546699
"Pichler et al., 2022","S-QT",40,0,0.0121951219512195,0.000758571800965484,0.167202610776328
"Perez et al., 2019","S-QT",28,1,0.0357142857142857,0.00500765903422704,0.214180628784411
"Martin-Alguacil et al., 2018","S-QT",26,3,0.115384615384615,0.0376876926804978,0.302850963268427
"Hunnicutt et al., 2021","S-QT",320,0,0.00155763239875389,9.73599401362201e-05,0.0243859349279265
"Hogan et al., 2022","S-QT",39,2,0.0512820512820513,0.0128606560334323,0.183186956169347
"Greif et al., 2022","S-QT",124,4,0.032258064516129,0.0121598840108524,0.0827909818566259
"Gille et al., 2009","S-QT",54,0,0.00909090909090909,0.00056628806288725,0.129334639801909
"Geib et al., 2009","S-QT",41,1,0.024390243902439,0.0034251064192619,0.153869708979525
"DeAngelis et al., 2007","S-QT",124,5,0.0403225806451613,0.016882799922907,0.0932199495240158
"Brinkman et al., 2023","S-QT",37,1,0.027027027027027,0.00379405671676782,0.168468598306766
"Aslam et al., 2021","S-QT",35,0,0.0138888888888889,0.000863253064270044,0.186726769394789
