"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Vilchez-Cavazos et al., 2020","B-QT",14,0,0.0333333333333333,0.00205281519190801,0.366304541528252
"Setliff et al., 2023","B-QT",48,1,0.0208333333333333,0.00292698090113441,0.133606222277583
"Pomenta Bastidas et al., 2022","B-QT",20,11,0.55,0.336201578829827,0.746798349861381
"Lund et al., 2014","B-QT",21,5,0.238095238095238,0.102722543198035,0.460341460145256
"Lee et al., 2021","B-QT",139,55,0.39568345323741,0.317897953446353,0.479132532771723
"Lee et al., 2016","B-QT",48,16,0.333333333333333,0.215301340531172,0.47675845564136
"Lee et al., 2014","B-QT",104,26,0.25,0.176178422269933,0.341915919607162
"Lee et al., 2007b","B-QT",240,78,0.325,0.268744337297515,0.386802609050559
"Lee et al., 2007a","B-QT",137,24,0.175182481751825,0.120272535870759,0.248091666822885
"Lee et al., 2004","B-QT",67,20,0.298507462686567,0.201381831091401,0.417960721432937
"Kwak et al., 2018","B-QT",45,16,0.355555555555556,0.230572715816998,0.503916408208563
"Kim et al., 2018","B-QT",75,15,0.2,0.124325945499419,0.305657216988442
"Kim et al., 2014","B-QT",142,30,0.211267605633803,0.151842182649079,0.286104806279309
"Kim et al., 2009d","B-QT",59,8,0.135593220338983,0.0692861901575219,0.248419035129729
"Kim et al., 2009c","B-QT",29,9,0.310344827586207,0.170058777802817,0.497048874305854
"Irrgang et al., 2021","B-QT",51,6,0.117647058823529,0.0538229467663962,0.23810876834986
"Hofer et al., 2022","B-QT",31,12,0.387096774193548,0.234650020949591,0.565416230034172
"Han et al., 2008","B-QT",72,24,0.333333333333333,0.234488412936926,0.449384918237305
"Guimarães et al., 2009","B-QT",17,4,0.235294117647059,0.0911803481604211,0.485503385494038
"Gorschewsky et al., 2007b","B-QT",93,9,0.0967741935483871,0.0511240754549975,0.175641296676124
"Galan et al., 2020","B-QT",291,32,0.109965635738832,0.0788301538297733,0.151377790271865
"Chen et al., 2006","B-QT",34,4,0.117647058823529,0.044865908139666,0.27455522550533
"Cavaignac et al., 2017","B-QT",45,4,0.0888888888888889,0.0337660093700989,0.214063376152216
"Barié et al., 2018","B-QT",57,7,0.12280701754386,0.0596887516262257,0.235923851593034
"Barié et al., 2010","B-QT",90,15,0.166666666666667,0.103048740142641,0.258251488108449
"Akoto et al., 2019","B-QT",41,6,0.146341463414634,0.067256694293111,0.289551413667786
"Akoto et al., 2015","B-QT",10,1,0.1,0.0138816573287912,0.46723672928379
"Akoto and Hoeher, 2012","B-QT",30,3,0.1,0.0326088031563234,0.268071620491462
"von Essen et al., 2022","S-QT",40,6,0.15,0.0689784880110572,0.295938423398524
"Setliff et al., 2023","S-QT",144,8,0.0555555555555556,0.0280244044366015,0.107151641949803
"Schulz et al., 2013","S-QT",55,32,0.581818181818182,0.448794330029097,0.703918256429142
"Hunnicutt et al., 2021","S-QT",268,9,0.0335820895522388,0.0175640832924676,0.0632673838386464
"Gille et al., 2009","S-QT",54,8,0.148148148148148,0.0758585783052168,0.26925505602814
"DeAngelis et al., 2007","S-QT",44,6,0.136363636363636,0.0625712802501723,0.271936626179554
