"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Setliff et al., 2023","B-QT",48.5,3.5,0.0721649484536082,0.0255428461316798,0.187509337986815
"Runer et al., 2018","B-QT",40.5,0.5,0.0123456790123457,0.000767883554104563,0.168969399233142
"Pomenta Bastidas et al., 2022","B-QT",20.5,0.5,0.024390243902439,0.0015085136226692,0.292631399858574
"Ollivier et al., 2021","B-QT",340.5,1.5,0.00440528634361234,0.0008891318628663,0.0215268043693089
"Mutsuzaki et al., 2019","B-QT",8.5,0.5,0.0588235294117647,0.0035768031056435,0.521118729198122
"Lee et al., 2021","B-QT",155.5,6.5,0.0418006430868167,0.0195029377819356,0.087320962422226
"Lee et al., 2014","B-QT",104.5,3.5,0.0334928229665072,0.0117974994975714,0.0913953838173032
"Irrgang et al., 2021","B-QT",57.5,5.5,0.0956521739130435,0.0420750811213032,0.202995337400009
"Han et al., 2008","B-QT",72.5,1.5,0.0206896551724138,0.00417550831645707,0.0962073147168167
"GuimarĂŁes et al., 2009","B-QT",17.5,1.5,0.0857142857142857,0.017280220567577,0.333258101463905
"Galan et al., 2020","B-QT",291.5,2.5,0.00857632933104631,0.00248479798964661,0.0291647530333764
"Fu et al., 2019","B-QT",57.5,5.5,0.0956521739130435,0.0420750811213032,0.202995337400009
"Bari et al., 2020","B-QT",30.5,0.5,0.0163934426229508,0.0010177373357645,0.214243460164084
"Setliff et al., 2023","S-QT",147.5,0.5,0.00338983050847458,0.000211706621620184,0.0518055573266812
"Perez et al., 2019","S-QT",28.5,0.5,0.0175438596491228,0.00108857336389605,0.226373086993934
"Hogan et al., 2022","S-QT",39.5,0.5,0.0126582278481013,0.000787210080593561,0.172617381802667
