"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Runer et al., 2023","B-QT",28,0,0.0172413793103448,0.00106995591535905,0.223213776182557
"Mutsuzaki et al., 2019","B-QT",7,0,0.0625,0.00379313971134152,0.538588219163029
"Malinowski et al., 2021","B-QT",106,5,0.0471698113207547,0.0197696593524401,0.108348156797943
"Lee et al., 2007b","B-QT",240,31,0.129166666666667,0.0923250020248943,0.177829481511825
"Lee et al., 2004","B-QT",67,9,0.134328358208955,0.0713986001279355,0.238479171897835
"Kuangyang et al., 2022","B-QT",33,3,0.0909090909090909,0.0296152783824137,0.246797126549629
"Kim et al., 2014","B-QT",142,26,0.183098591549296,0.127775140313842,0.25536275989889
"Kim et al., 2009d","B-QT",59,7,0.11864406779661,0.0576265699147268,0.228597183722874
"Han et al., 2008","B-QT",72,6,0.0833333333333333,0.0379197156610483,0.173336371917849
"Gorschewsky et al., 2007b","B-QT",93,16,0.172043010752688,0.108156169349823,0.262557395160807
"Gorschewsky et al., 2007a","B-QT",193,33,0.170984455958549,0.124184317710969,0.230774389768127
"Geib et al., 2009","B-QT",49,6,0.122448979591837,0.0560623928530328,0.246886644711858
"Galan et al., 2020","B-QT",291,15,0.0515463917525773,0.0313107948223336,0.0837294873464478
"Chen et al., 2006","B-QT",34,3,0.0882352941176471,0.0287359178447981,0.240434425466515
"Barié et al., 2018","B-QT",57,0,0.00862068965517241,0.0005371128768487,0.123348135185851
"Barié et al., 2010","B-QT",90,13,0.144444444444444,0.0857591325482803,0.23305141990599
"Akoto et al., 2019","B-QT",41,5,0.121951219512195,0.0516861914434686,0.261407232965831
"Akoto et al., 2015","B-QT",10,0,0.0454545454545455,0.00278266949352951,0.448313580252669
"Akoto and Hoeher, 2012","B-QT",30,1,0.0333333333333333,0.00467534553088576,0.202002440446537
"Schulz et al., 2013","S-QT",55,19,0.345454545454546,0.232391212121421,0.479186555178281
"Iriuchishima et al., 2017","S-QT",20,0,0.0238095238095238,0.00147300212530511,0.287375374656742
"Gille et al., 2009","S-QT",54,5,0.0925925925925926,0.0390702734149232,0.203878854933262
"Geib et al., 2009","S-QT",27,2,0.0740740740740741,0.0185966487763759,0.252475070624673
