"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Vilchez-Cavazos et al., 2020","B-QT",14,88,7,88,3.5,1.87082869338697,47.0379785765867,0,84.3332431397174,91.6667568602826
"Sinding et al., 2020","B-QT",42,76,17,76,6.88095238095238,2.62315694935556,28.972723122294,1.45205619730413e-184,70.8587068534671,81.1412931465329
"Setliff et al., 2023","B-QT",10,80.9,20.4,80.9,41.616,6.45104642674349,12.5406011131187,4.47587474315013e-36,68.256181340987,93.5438186590131
"Runer et al., 2023","B-QT",28,93.9,6.8,93.9,1.65142857142857,1.28507920823137,73.0694259144015,0,91.3812910345853,96.4187089654147
"Pomenta Bastidas et al., 2022","B-QT",20,86.28,6.8,86.28,2.312,1.52052622469986,56.7435132643182,0,83.2998233620396,89.2601766379604
"Lund et al., 2014","B-QT",21,84,13,84,8.04761904761905,2.8368325730679,29.6104891058685,1.09499302776868e-192,78.4399103266168,89.5600896733832
"Lind et al., 2020b","B-QT",47,82,14,82,4.17021276595745,2.04210988097052,40.1545483737775,0,77.9975381808244,86.0024618191756
"Lee et al., 2021","B-QT",139,81,8.4,81,0.507625899280576,0.712478700931176,113.68760903889,0,79.603567406423,82.396432593577
"Lee et al., 2016","B-QT",48,80.2,10,80.2,2.08333333333333,1.44337567297406,55.5641899068096,0,77.3710356648096,83.0289643351904
"Lee et al., 2014","B-QT",104,77.25,13.49,77.25,1.74980865384615,1.32280333150705,58.3987038435942,0,74.6573531116166,79.8426468883834
"Kwak et al., 2018","B-QT",45,67.3,16.8,67.3,6.272,2.50439613479976,26.87274551531,4.57460369064094e-159,62.3914737727711,72.2085262272289
"Komzák et al., 2022","B-QT",40,78.3,10.5,78.3,2.75625,1.6601957715884,47.1631125316541,0,75.0460760804011,81.5539239195989
"Kim et al., 2018","B-QT",75,71.07,9.55,71.07,1.21603333333333,1.10273901415219,64.448613033466,0,68.9086712479145,73.2313287520855
"Kim et al., 2014","B-QT",142,87.02,6.84,87.02,0.329476056338028,0.574000049074935,151.602774494954,0,85.8949805766889,88.1450194233111
"Irrgang et al., 2021","B-QT",51,92.14,4.46,92.14,0.39003137254902,0.624524917476492,147.536146952004,0,90.9159536542982,93.3640463457018
"Horstmann et al., 2022","B-QT",24,89.3,12.2,89.3,6.20166666666667,2.49031457182956,35.8589236115636,1.3351582917612e-281,84.4190731290388,94.1809268709612
"Hofer et al., 2022","B-QT",27,88,12.4,88,5.69481481481482,2.38638111265045,36.8759204192083,1.12404644610449e-297,83.3227789658185,92.6772210341815
"Herman et al., 2023","B-QT",14,91.6,9.7,91.6,6.72071428571429,2.59243404655052,35.3335893431436,1.7914720590611e-273,86.5189226364655,96.6810773635344
"Guney-Deniz et al., 2020","B-QT",22,82.7,9.1,82.7,3.76409090909091,1.94012651883605,42.6260860810327,0,78.8974218976303,86.5025781023697
"Fu et al., 2019","B-QT",51,89.8,10.61,89.8,2.20729607843137,1.48569716915372,60.443004041767,0,86.8880870565256,92.7119129434744
"Cavaignac et al., 2017","B-QT",44,84,13,84,3.84090909090909,1.95982373975546,42.8609972907467,0,80.1588160540327,87.8411839459673
"Barié et al., 2020","B-QT",21,92,11.5,92,6.29761904761905,2.50950573771391,36.6606055596467,3.10117340746445e-294,87.0814591350841,96.9185408649159
"Barié et al., 2018","B-QT",57,90,9.9,90,1.71947368421053,1.31128703349439,68.6348585024614,0,87.4299246409566,92.5700753590434
"Barié et al., 2010","B-QT",106,83.78,13.32,83.78,1.67379622641509,1.29375276865988,64.757349340232,0,81.2442911685277,86.3157088314723
"Akoto et al., 2019","B-QT",41,86.4,14.2,86.4,4.9180487804878,2.21766741881821,38.9598545150844,0,82.0534517294284,90.7465482705716
"Akoto et al., 2015","B-QT",10,89.5,8.3,89.5,6.889,2.62469045793976,34.0992591066349,7.5650405796398e-255,84.3557012318721,94.6442987681279
"Akoto and Hoeher, 2012","B-QT",30,86.1,15.8,86.1,8.32133333333333,2.88467213619387,29.8474127855663,9.48436210398787e-196,80.4461465058538,91.7538534941462
"Brinkman et al., 2023","S-QT",37,90.7,6,90.7,0.972972972972973,0.986393923832144,91.9510935830081,0,88.7667034347199,92.6332965652801
"DeAngelis et al., 2007","S-QT",124,84.7,15.65,84.7,1.9751814516129,1.40541148835951,60.2670468411122,0,81.9454440993565,87.4545559006435
"Gille et al., 2009","S-QT",54,78.3,14.63,78.3,3.9636462962963,1.99089082982877,39.3291278591776,0,74.3979256763845,82.2020743236154
"Greif et al., 2022","S-QT",124,91.1,11.15,91.1,1.00260080645161,1.00129955879927,90.9817638482179,0,89.1374889270176,93.0625110729824
"Hogan et al., 2022","S-QT",19,77.4,24.6,77.4,31.8505263157895,5.64362705321582,13.7145844808963,8.30407491549716e-43,66.3386942335211,88.4613057664789
