"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Runer et al., 2023","B-QT",28,94.6,6.5,94.6,1.50892857142857,1.22838453727999,77.0117150851416,0,92.1924105477653,97.0075894522347
"Lund et al., 2014","B-QT",21,84,13,84,8.04761904761905,2.8368325730679,29.6104891058685,1.09499302776868e-192,78.4399103266168,89.5600896733832
"Lind et al., 2020b","B-QT",47,87,17,87,6.14893617021277,2.47970485546421,35.0848206020524,1.14878057167333e-269,82.1398677910011,91.8601322089989
"Karpinski et al., 2021","B-QT",25,82.52,17.95,82.52,12.8881,3.59,22.9860724233983,6.42456893859013e-117,75.4837292955012,89.5562707044988
"Jacquet et al., 2021","B-QT",91,85.4,14.8,85.4,2.40703296703297,1.55146155834844,55.0448701358157,0,82.3591912222387,88.4408087777613
"Irrgang et al., 2021","B-QT",48,87.53,9.5,87.53,1.88020833333333,1.37120688932536,63.8342767101069,0,84.8424838815691,90.2175161184309
"Cavaignac et al., 2017","B-QT",44,90,11.2,90,2.85090909090909,1.68846352963548,53.3028984164261,0,86.6906722927051,93.3093277072949
"Zhou et al., 2023","S-QT",107,81.26,2.93,81.26,0.0802327102803738,0.283253791290379,286.880537873175,0,80.7048327705864,81.8151672294136
"Hunnicutt et al., 2019","S-QT",15,77.01,16.73,77.01,18.6595266666667,4.31966742547001,17.8277613563319,4.30309236721079e-71,68.5436074208879,85.4763925791121
"Hogan et al., 2022","S-QT",30,83.7,16.3,83.7,8.85633333333333,2.9759592291114,28.1253853148358,4.79432305690033e-174,77.8672270914821,89.5327729085179
