"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Vilchez-Cavazos et al., 2020","B-QT",14,0,0.0333333333333333,0.00205281519190801,0.366304541528252
"Setliff et al., 2023","B-QT",48,1,0.0208333333333333,0.00292698090113441,0.133606222277583
"Pomenta Bastidas et al., 2022","B-QT",20,2,0.1,0.0251335843506808,0.323802008388713
"Lund et al., 2014","B-QT",21,1,0.0476190476190476,0.0066656640518744,0.271432491994132
"Lee et al., 2021","B-QT",139,6,0.0431654676258993,0.0195202222142502,0.0927434436757674
"Lee et al., 2016","B-QT",48,1,0.0208333333333333,0.00292698090113441,0.133606222277583
"Lee et al., 2014","B-QT",104,0,0.00476190476190476,0.000297212744744021,0.0714979774282216
"Lee et al., 2007b","B-QT",240,11,0.0458333333333333,0.0255607353122432,0.0808503773361259
"Lee et al., 2007a","B-QT",137,0,0.0036231884057971,0.000226256758093193,0.0552042735543878
"Lee et al., 2004","B-QT",67,3,0.0447761194029851,0.0145132401090987,0.129829486072795
"Kwak et al., 2018","B-QT",45,1,0.0222222222222222,0.00312154491630224,0.141598243541086
"Kim et al., 2018","B-QT",75,0,0.00657894736842105,0.000410284031146313,0.0965369686157038
"Kim et al., 2014","B-QT",142,7,0.0492957746478873,0.0236808109829701,0.0997859887722383
"Kim et al., 2009d","B-QT",59,1,0.0169491525423729,0.00238247278769186,0.11069564922167
"Kim et al., 2009c","B-QT",29,0,0.0166666666666667,0.00103456793593855,0.217152405301124
"Irrgang et al., 2021","B-QT",51,1,0.0196078431372549,0.0027552457251666,0.126467893950965
"Hofer et al., 2022","B-QT",31,3,0.0967741935483871,0.0315459318233625,0.260585424967128
"Han et al., 2008","B-QT",72,3,0.0416666666666667,0.0135007421996078,0.121364628107884
"Guimaraes et al., 2009","B-QT",17,0,0.0277777777777778,0.001715259621611,0.322081593174817
"Gorschewsky et al., 2007b","B-QT",93,1,0.010752688172043,0.00151265400818476,0.072345815442949
"Galan et al., 2020","B-QT",291,12,0.0412371134020618,0.023565187067893,0.0711952282613185
"Chen et al., 2006","B-QT",34,1,0.0294117647058824,0.00412750410209414,0.181373606086866
"Cavaignac et al., 2017","B-QT",45,0,0.0108695652173913,0.000676531183441185,0.151374156496166
"Barié et al., 2018","B-QT",57,0,0.00862068965517241,0.0005371128768487,0.123348135185851
"Barié et al., 2010","B-QT",90,0,0.00549450549450549,0.000342823800827736,0.0817320512494473
"Akoto et al., 2019","B-QT",41,0,0.0119047619047619,0.000740609706240846,0.163777583627333
"Akoto et al., 2015","B-QT",10,0,0.0454545454545455,0.00278266949352951,0.448313580252669
"Akoto et al., 2012","B-QT",30,0,0.0161290322580645,0.00100144548589752,0.211411388051798
"von Essen et al., 2022","S-QT",40,0,0.0121951219512195,0.000758571800965484,0.167202610776328
"Setliff et al., 2023","S-QT",144,8,0.0555555555555556,0.0280244044366015,0.107151641949803
"Schulz et al., 2013","S-QT",55,11,0.2,0.114356059641826,0.326163076654765
"Hunnicutt et al., 2021","S-QT",268,0,0.00185873605947955,0.000116164700640468,0.0289836671356008
"Gille et al., 2009","S-QT",54,0,0.00909090909090909,0.00056628806288725,0.129334639801909
