study,graft_type,ni,xi,yi,ci.lb,ci.ub
"Setliff et al., 2023",B-QT,48.5,3.5,0.0625,0.020297586,0.176629279
"Runer et al., 2018",B-QT,40.5,0.5,0.012195122,0.000758572,0.167202611
"Pomenta Bastidas et al., 2022",B-QT,20.5,0.5,0.023809524,0.001473002,0.287375375
"Ollivier et al., 2021",B-QT,340.5,1.5,0.002941176,0.000414156,0.020569791
"Mutsuzaki et al., 2019",B-QT,8.5,0.5,0.055555556,0.003383755,0.504738157
"Lee et al., 2021",B-QT,155.5,6.5,0.038709677,0.017493283,0.083471841
"Lee et al., 2014",B-QT,104.5,3.5,0.028846154,0.009333418,0.085626858
"Irrgang et al., 2021",B-QT,57.5,5.5,0.087719298,0.03698695,0.194018106
"Han et al., 2008",B-QT,72.5,1.5,0.013888889,0.001953069,0.092041293
"Guimarães et al., 2009",B-QT,17.5,1.5,0.058823529,0.008220471,0.320319459
"Galan et al., 2020",B-QT,291.5,2.5,0.006872852,0.001719552,0.027051507
"Fu et al., 2019",B-QT,57.5,5.5,0.087719298,0.03698695,0.194018106
"Barié et al., 2020",B-QT,30.5,0.5,0.016129032,0.001001445,0.211411388
"Setliff et al., 2023",S-QT,147.5,0.5,0.003378378,0.000210992,0.051638232
"Perez et al., 2019",S-QT,28.5,0.5,0.017241379,0.001069956,0.223213776
"Hogan et al., 2022",S-QT,39.5,0.5,0.0125,0.000777427,0.170773916
