"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Sinding et al., 2020","B-QT",42,92.1,16.1,92.1,6.17166666666667,2.48428393438968,37.0730570387183,7.63639623374261e-301,87.2308929612248,96.9691070387752
"Runer et al., 2023","B-QT",28,95.9,3.8,95.9,0.515714285714286,0.718132498717532,133.54081617426,0,94.4924861663859,97.3075138336141
"Lind et al., 2020b","B-QT",47,91,13,91,3.59574468085106,1.89624488947263,47.9895822028073,0,87.2834283107655,94.7165716892345
"Hofer et al., 2022","B-QT",30,90.6,11.6,90.6,4.48533333333333,2.11786055568664,42.7790204396276,0,86.4490695865762,94.7509304134238
"Guney-Deniz et al., 2020","B-QT",22,91.9,9.4,91.9,4.01636363636364,2.00408673374274,45.8562987582737,0,87.9720621799697,95.8279378200303
"Akoto et al., 2019","B-QT",41,96.2,8.5,96.2,1.76219512195122,1.32747697605315,72.4683001930635,0,93.5981929366297,98.8018070633703
"Akoto and Hoeher, 2012","B-QT",30,91.9,8,91.9,2.13333333333333,1.46059348668044,62.919628793406,0,89.0372893700525,94.7627106299475
"Schulz et al., 2013","S-QT",55,89,19.96,89,7.24366545454546,2.69140585095326,33.0682197069897,8.51278007190188e-240,83.7249414643512,94.2750585356488
"Johnston et al., 2022","S-QT",35,98,5.3,98,0.802571428571429,0.895863510012228,109.391663913917,0,96.2441397853124,99.7558602146876
"Johnston et al., 2021","S-QT",37,90.92,15.55,90.92,6.5352027027027,2.55640425259831,35.5655800163803,4.77250405325626e-277,85.9095397349823,95.9304602650177
"Hunnicutt et al., 2019","S-QT",15,82.95,22.71,82.95,34.38294,5.86369678615803,14.1463658550377,1.96660862206081e-45,71.457365482867,94.442634517133
"Gille et al., 2009","S-QT",54,87.67,6.6,87.67,0.806666666666667,0.898146239020499,97.6121662499096,0,85.9096657186697,89.4303342813303
"DeAngelis et al., 2007","S-QT",44,96,13,96,3.84090909090909,1.95982373975546,48.9839969037105,0,92.1588160540327,99.8411839459673
