"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Runer et al., 2023","B-QT",28,6,1.17,6,0.0488892857142857,0.221109216710398,27.1359108827138,3.71341732285487e-162,5.56663389859776,6.43336610140224
"Runer et al., 2020","B-QT",114,6.1,2,6.1,0.0350877192982456,0.187317162316339,32.5650886686955,1.28052308558575e-232,5.73286510817373,6.46713489182627
"Runer et al., 2018","B-QT",40,5.9,1.62,5.9,0.06561,0.256144490473639,23.0338743148067,2.13430191279285e-117,5.39796602383331,6.4020339761667
"Pomenta Bastidas et al., 2022","B-QT",20,5,1,5,0.05,0.223606797749979,22.3606797749979,9.50539776655386e-111,4.56173872971171,5.43826127028829
"Mutsuzaki et al., 2019","B-QT",7,5,1.53,5,0.334414285714286,0.578285643704118,8.64624611459017,5.3221262461316e-18,3.86658096556337,6.13341903443663
"Lind et al., 2020b","B-QT",47,6,1.5,6,0.0478723404255319,0.218797487246842,27.4226184016042,1.47411149831771e-165,5.57116480508833,6.42883519491167
"Lee et al., 2021","B-QT",139,4.4,1.3,4.4,0.012158273381295,0.110264560858396,39.9040268763285,0,4.18388543194642,4.61611456805358
"Lee et al., 2016","B-QT",48,4.7,1.2,4.7,0.03,0.173205080756888,27.1354626519124,3.75892152623353e-162,4.36052427977715,5.03947572022285
"Lee et al., 2014","B-QT",104,4.4,1.8,4.4,0.0311538461538462,0.176504521624366,24.9285398442314,3.64990418240599e-137,4.05405749450777,4.74594250549223
"Kwak et al., 2018","B-QT",45,7.24,1.46,7.24,0.0473688888888889,0.21764394980998,33.2653400488325,1.22502249094561e-242,6.8134256969194,7.6665743030806
"Kim et al., 2018","B-QT",75,4.16,1.23,4.16,0.020172,0.142028166220648,29.2899648759615,1.3920502970396e-188,3.88162990941726,4.43837009058274
"Herman et al., 2023","B-QT",14,8.2,1.6,8.2,0.182857142857143,0.427617987059879,19.1759941072164,5.87350088396662e-82,7.36188414622112,9.03811585377888
"Galan et al., 2020","B-QT",291,7.95,1.05,7.95,0.00378865979381443,0.0615520900848577,129.158895969899,0,7.82936012026051,8.07063987973949
"Cavaignac et al., 2017","B-QT",44,5.9,1.4,5.9,0.0445454545454545,0.211057941204435,27.9544089472812,5.82701177772155e-172,5.48633403658814,6.31366596341186
"Barié et al., 2020","B-QT",21,6.1,1.14,6.1,0.0618857142857143,0.248768394869031,24.5207997712549,8.86434710883689e-133,5.61242290556486,6.58757709443514
"Barié et al., 2018","B-QT",57,5.84,1.74,5.84,0.0531157894736842,0.230468630129318,25.3396741965409,1.16793808564695e-141,5.38828978538025,6.29171021461975
"Barié et al., 2010","B-QT",106,5.67,1.58,5.67,0.0235509433962264,0.153463166252448,36.9469765186052,8.1449612141353e-299,5.36921772119172,5.97078227880828
"Akoto et al., 2019","B-QT",41,7.6,1.8,7.6,0.0790243902439024,0.281112771399491,27.0354134469387,5.6695365529657e-161,7.04902909246276,8.15097090753724
"Akoto et al., 2015","B-QT",10,7.4,1.4,7.4,0.196,0.442718872423573,16.7148962037471,1.0209757351213e-62,6.53228695477361,8.26771304522639
"Schulz et al., 2013","S-QT",55,4.16,0.8,4.16,0.0116363636363636,0.107871977994119,38.5642321328974,0,3.94857480819043,4.37142519180957
"Pichler et al., 2022","S-QT",40,3.7,0.46,3.7,0.00529,0.0727323861838727,50.8714232287957,0,3.55744714256995,3.84255285743005
"Perez et al., 2019","S-QT",28,6,1.95,6,0.135803571428571,0.368515361183997,16.2815465296283,1.33453203368143e-59,5.2777231643296,6.7222768356704
"Letter et al., 2023","S-QT",26,6.27,3.18,6.27,0.388938461538462,0.623649309739425,10.0537271541594,8.84571121429683e-24,5.04766981392746,7.49233018607254
"Letter et al., 2019","S-QT",17,6.29,0.99,6.29,0.0576529411764706,0.24011026878597,26.1962973587223,2.92849905832485e-151,5.81939252086127,6.76060747913873
"Hunnicutt et al., 2019","S-QT",15,6.17,1.44,6.17,0.13824,0.371806401235912,16.5946578097915,7.61767157786164e-62,5.44127284435616,6.89872715564384
"Hogan et al., 2022","S-QT",20,5.2,2.7,5.2,0.3645,0.603738353924943,8.61300257999919,7.11714915902487e-18,4.01669457022162,6.38330542977839
"Greif et al., 2022","S-QT",124,6.84,1.66,6.84,0.0222225806451613,0.149072400682223,45.8837448695872,0,6.54782346357392,7.13217653642608
"Gille et al., 2009","S-QT",54,4.22,1.98,4.22,0.0726,0.26944387170615,15.6618889614318,2.75588753391661e-55,3.69189971560092,4.74810028439908
